FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,Day
03:35,03:40:00,18.05,5,2023-02-06,Monday
13:35,13:40:00,28.62,10,2023-02-06,Monday
13:25,13:30:00,18.37,8,2023-02-06,Monday
13:20,13:25:00,8.82,8,2023-02-06,Monday
13:15,13:20:00,20.69,9,2023-02-06,Monday
13:10,13:15:00,23.48,3,2023-02-06,Monday
13:05,13:10:00,21.94,2,2023-02-06,Monday
13:00,13:05:00,24.8,9,2023-02-06,Monday
12:55,13:00:00,18.3,8,2023-02-06,Monday
12:50,12:55:00,36.25,8,2023-02-06,Monday
13:30,13:35:00,18.3,7,2023-02-06,Monday
03:30,03:35:00,29.82,1,2023-02-06,Monday
03:25,03:30:00,19.42,1,2023-02-06,Monday
03:15,03:20:00,23.88,3,2023-02-06,Monday
