FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,Day
13:50,13:55:00,17.08,16,2023-02-06,Monday
13:45,13:50:00,19.84,20,2023-02-06,Monday
03:15,03:20:00,39.13,8,2023-01-30,Monday
03:10,03:15:00,32.22,7,2023-01-30,Monday
03:05,03:10:00,42.75,1,2023-01-30,Monday
03:00,03:05:00,14.02,1,2023-01-30,Monday
02:55,03:00:00,36.69,4,2023-01-30,Monday
02:45,02:50:00,27.95,4,2023-01-30,Monday
01:15,01:20:00,25.12,5,2023-01-30,Monday
17:45,17:50:00,10.39,12,2023-02-06,Monday
17:55,18:00:00,13.14,14,2023-02-06,Monday
22:15,22:20:00,24.86,9,2023-02-06,Monday
22:10,22:15:00,25.11,21,2023-02-06,Monday
22:05,22:10:00,20.64,14,2023-02-06,Monday
22:00,22:05:00,23.27,11,2023-02-06,Monday
21:55,22:00:00,21.67,7,2023-02-06,Monday
21:50,21:55:00,19.93,12,2023-02-06,Monday
22:20,22:25:00,20.27,11,2023-02-06,Monday
21:45,21:50:00,22.09,11,2023-02-06,Monday
21:35,21:40:00,17.58,8,2023-02-06,Monday
21:30,21:35:00,32.96,8,2023-02-06,Monday
21:25,21:30:00,24.14,18,2023-02-06,Monday
21:20,21:25:00,22.0,9,2023-02-06,Monday
21:15,21:20:00,21.15,14,2023-02-06,Monday
21:10,21:15:00,25.36,12,2023-02-06,Monday
21:40,21:45:00,24.78,6,2023-02-06,Monday
22:25,22:30:00,22.34,8,2023-02-06,Monday
22:30,22:35:00,20.3,22,2023-02-06,Monday
22:35,22:40:00,25.31,11,2023-02-06,Monday
23:50,23:55:00,34.22,9,2023-02-06,Monday
23:45,23:50:00,24.5,9,2023-02-06,Monday
23:40,23:45:00,30.85,13,2023-02-06,Monday
23:35,23:40:00,34.09,10,2023-02-06,Monday
23:30,23:35:00,26.53,11,2023-02-06,Monday
23:25,23:30:00,20.84,6,2023-02-06,Monday
23:20,23:25:00,24.69,17,2023-02-06,Monday
23:15,23:20:00,20.92,13,2023-02-06,Monday
23:10,23:15:00,36.32,10,2023-02-06,Monday
23:05,23:10:00,19.14,9,2023-02-06,Monday
23:00,23:05:00,30.54,4,2023-02-06,Monday
22:55,23:00:00,23.31,16,2023-02-06,Monday
22:50,22:55:00,20.75,15,2023-02-06,Monday
22:45,22:50:00,28.51,8,2023-02-06,Monday
22:40,22:45:00,27.54,17,2023-02-06,Monday
21:05,21:10:00,19.03,11,2023-02-06,Monday
21:00,21:05:00,21.1,5,2023-02-06,Monday
20:55,21:00:00,15.72,12,2023-02-06,Monday
20:50,20:55:00,19.27,15,2023-02-06,Monday
19:10,19:15:00,15.83,14,2023-02-06,Monday
19:05,19:10:00,10.33,17,2023-02-06,Monday
19:00,19:05:00,17.84,14,2023-02-06,Monday
18:55,19:00:00,10.25,17,2023-02-06,Monday
