FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,day_name
09:00:00,09:05:00,18.27,6,2023-02-02,Thursday
09:05:00,09:10:00,16.39,12,2023-02-02,Thursday
09:10:00,09:15:00,9.91,11,2023-02-02,Thursday
09:15:00,09:20:00,15.48,16,2023-02-02,Thursday
09:20:00,09:25:00,11.8,11,2023-02-02,Thursday
09:25:00,09:30:00,18.98,17,2023-02-02,Thursday
09:30:00,09:35:00,15.33,17,2023-02-02,Thursday
09:35:00,09:40:00,11.25,18,2023-02-02,Thursday
09:40:00,09:45:00,17.1,3,2023-02-02,Thursday
09:45:00,09:50:00,9.5,19,2023-02-02,Thursday
09:50:00,09:55:00,20.15,18,2023-02-02,Thursday
09:55:00,10:00:00,19.47,11,2023-02-02,Thursday
10:00:00,10:05:00,3.86,5,2023-02-02,Thursday
10:05:00,10:10:00,15.22,14,2023-02-02,Thursday
10:10:00,10:15:00,16.05,7,2023-02-02,Thursday
10:15:00,10:20:00,7.28,17,2023-02-02,Thursday
10:20:00,10:25:00,13.93,10,2023-02-02,Thursday
10:25:00,10:30:00,8.84,11,2023-02-02,Thursday
10:30:00,10:35:00,13.71,7,2023-02-02,Thursday
10:35:00,10:40:00,6.08,14,2023-02-02,Thursday
10:40:00,10:45:00,13.75,22,2023-02-02,Thursday
10:45:00,10:50:00,10.73,15,2023-02-02,Thursday
10:50:00,10:55:00,12.51,9,2023-02-02,Thursday
10:55:00,11:00:00,7.5,12,2023-02-02,Thursday
11:00:00,11:05:00,17.12,13,2023-02-02,Thursday
11:05:00,11:10:00,11.88,20,2023-02-02,Thursday
11:10:00,11:15:00,12.97,10,2023-02-02,Thursday
11:15:00,11:20:00,12.03,13,2023-02-02,Thursday
11:20:00,11:25:00,10.69,13,2023-02-02,Thursday
11:25:00,11:30:00,12.55,11,2023-02-02,Thursday
11:30:00,11:35:00,8.76,8,2023-02-02,Thursday
11:35:00,11:40:00,19.19,14,2023-02-02,Thursday
11:40:00,11:45:00,16.65,10,2023-02-02,Thursday
11:45:00,11:50:00,14.28,13,2023-02-02,Thursday
11:50:00,11:55:00,14.98,7,2023-02-02,Thursday
11:55:00,12:00:00,9.09,13,2023-02-02,Thursday
12:00:00,12:05:00,2.19,12,2023-02-02,Thursday
12:05:00,12:10:00,8.79,15,2023-02-02,Thursday
12:10:00,12:15:00,11.7,19,2023-02-02,Thursday
12:15:00,12:20:00,8.96,13,2023-02-02,Thursday
12:20:00,12:25:00,11.48,9,2023-02-02,Thursday
12:25:00,12:30:00,6.03,5,2023-02-02,Thursday
12:30:00,12:35:00,7.56,13,2023-02-02,Thursday
12:35:00,12:40:00,11.79,11,2023-02-02,Thursday
12:40:00,12:45:00,10.83,15,2023-02-02,Thursday
12:45:00,12:50:00,13.27,6,2023-02-02,Thursday
12:50:00,12:55:00,6.88,5,2023-02-02,Thursday
12:55:00,13:00:00,7.95,14,2023-02-02,Thursday
13:00:00,13:05:00,8.55,15,2023-02-02,Thursday
13:05:00,13:10:00,15.69,21,2023-02-02,Thursday
13:10:00,13:15:00,10.98,9,2023-02-02,Thursday
13:15:00,13:20:00,15.83,13,2023-02-02,Thursday
13:20:00,13:25:00,21.08,4,2023-02-02,Thursday
13:25:00,13:30:00,8.91,18,2023-02-02,Thursday
13:30:00,13:35:00,12.14,14,2023-02-02,Thursday
13:35:00,13:40:00,15.98,14,2023-02-02,Thursday
13:40:00,13:45:00,15.21,13,2023-02-02,Thursday
13:45:00,13:50:00,12.01,15,2023-02-02,Thursday
13:50:00,13:55:00,17.59,20,2023-02-02,Thursday
13:55:00,14:00:00,10.91,18,2023-02-02,Thursday
14:00:00,14:05:00,5.91,7,2023-02-02,Thursday
